,minutes_played,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating,role_Attacker,role_Defender,role_Midfielder
20080,0.7478991596638656,13,0,0,0,0.59,2,0,0.0,2,0,0,0,3,0,22,48,2,4,2,1,2,2,7,10,1,1,3,1,0,3,0,0,0,0,7.6,1,0,0
20081,0.2352941176470588,8,0,0,0,0.73,0,0,0.0,0,0,0,0,0,1,11,16,1,1,0,1,1,1,2,3,0,0,4,1,0,0,1,0,0,0,6.2,0,0,1
20082,0.1176470588235294,3,0,0,0,1.0,1,0,0.0,1,0,0,1,0,0,3,9,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,6.3,0,0,1
20083,0.050420168067226885,3,0,0,0,1.0,0,0,0.0,0,0,0,1,0,0,3,5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,5.0,1,0,0
20084,0.7478991596638656,45,0,0,0,0.83,0,0,0.0,0,0,1,0,0,4,54,62,2,5,2,0,0,0,3,6,0,1,2,1,0,0,0,0,0,0,7.0,0,1,0
20085,0.7478991596638656,33,0,0,0,0.89,0,0,0.0,0,0,10,0,0,12,37,41,1,0,2,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,6.6,0,1,0
20086,0.7478991596638656,34,0,0,0,0.74,0,0,0.0,0,0,4,0,0,12,46,61,2,2,8,0,0,0,3,4,1,3,2,2,2,0,0,0,0,0,7.5,0,0,1
20087,0.7478991596638656,38,1,0,0,0.81,0,0,0.0,0,0,0,0,1,1,47,76,2,2,2,1,3,1,6,6,3,2,8,2,2,1,0,0,0,0,8.0,0,1,0
20088,0.7478991596638656,51,1,0,0,0.89,2,1,0.0,1,0,3,4,2,4,57,73,0,2,1,0,0,0,2,6,0,0,5,2,1,2,0,0,1,0,7.9,0,0,1
20089,0.7478991596638656,42,0,1,1,0.75,2,0,0.5,1,1,5,0,1,13,56,77,3,0,0,1,2,2,4,6,0,6,13,3,1,1,0,0,0,0,8.5,0,0,1
20090,0.7478991596638656,19,0,0,0,0.76,0,0,0.0,0,0,0,0,1,0,25,48,3,0,0,1,4,1,9,4,1,1,9,3,2,0,0,0,0,0,6.6,0,1,0
20091,0.5042016806722689,10,0,0,0,0.77,2,0,0.5,1,1,1,5,0,1,13,43,1,4,0,2,11,9,6,16,1,0,0,1,1,2,0,1,0,0,7.9,1,0,0
20092,0.6218487394957983,18,1,2,0,0.67,1,0,0.0,1,0,3,0,4,3,27,42,2,5,0,4,3,2,8,8,1,1,4,1,0,0,0,1,0,0,7.9,1,0,0
20093,0.6890756302521008,23,0,1,3,0.82,3,0,1.0,0,3,1,2,0,3,28,43,1,2,0,1,1,0,10,5,1,1,4,0,0,3,0,1,0,0,9.5,0,0,1
20094,0.18487394957983191,2,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1,0,0,1
