,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,pass_success,total_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
32,1,3,0.7478991596638656,0,5,2,6,11,0.3793103448275862,0,0.0,0,0,9,0,27,29,42,0,0,0,0,0,0,0,1,0,0,14,1,1,0,0,0,0,0,5.9
33,1,0,0.7478991596638656,0,2,0,5,33,0.9166666666666666,0,0.0,0,0,3,0,6,36,44,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5.3
34,0,0,0.7478991596638656,1,2,2,9,14,0.6666666666666666,0,0.0,0,0,3,0,10,21,34,0,1,1,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,7.1
35,1,0,0.7478991596638656,0,3,3,5,22,0.6666666666666666,0,0.0,0,0,12,0,23,33,44,0,2,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,6.2
36,1,0,0.7478991596638656,0,1,0,3,19,0.6333333333333333,0,0.0,0,0,4,0,15,30,36,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,6.1
37,1,0,0.7478991596638656,1,1,1,9,17,0.7391304347826086,0,0.0,0,0,4,0,9,23,35,0,1,2,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,7.5
38,3,0,0.7478991596638656,0,3,1,2,5,0.2777777777777778,0,0.0,0,0,2,0,15,18,24,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6.2
39,3,0,0.7478991596638656,0,7,4,4,9,0.36,0,0.0,0,0,5,0,21,25,36,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7.7
40,0,0,0.7478991596638656,0,3,1,4,21,0.7777777777777778,0,0.0,0,0,17,0,23,27,34,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7.1
41,0,0,0.7478991596638656,0,1,0,4,14,0.6666666666666666,0,0.0,0,0,4,0,11,21,26,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6.6
42,2,0,0.7478991596638656,2,4,3,6,18,0.5806451612903226,0,0.0,0,0,6,0,19,31,45,0,0,3,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0,7.2
43,0,0,0.7478991596638656,0,0,0,1,21,0.65625,0,0.0,0,0,5,0,16,32,34,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.7
44,0,0,0.7478991596638656,0,0,0,4,19,0.95,0,0.0,0,0,1,0,2,20,25,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5.8
45,0,0,0.7478991596638656,0,3,2,2,12,0.631578947368421,0,0.0,0,0,3,0,10,19,26,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,0,0,0,7.2
46,2,2,0.7478991596638656,2,6,6,6,16,0.42105263157894735,0,0.0,0,0,4,0,26,38,54,0,1,2,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,6.5
47,3,0,0.7478991596638656,0,6,4,9,4,0.21052631578947367,1,0.0,0,0,3,0,18,19,36,0,1,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,6.5
48,0,0,0.7478991596638656,1,6,4,9,11,0.9166666666666666,0,0.0,0,0,4,0,5,12,28,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,7.5
49,1,0,0.7478991596638656,0,2,2,5,5,0.5555555555555556,0,0.0,0,0,5,0,9,9,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.4
50,1,5,0.7478991596638656,0,1,1,4,12,0.7058823529411765,0,0.0,0,0,4,0,7,17,23,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4.0
51,3,0,0.7478991596638656,0,7,2,10,16,0.6956521739130435,0,0.0,0,0,0,0,7,23,41,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,7.2
52,1,0,0.7478991596638656,0,2,1,4,5,0.38461538461538464,0,0.0,0,0,4,0,12,13,22,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8.2
