player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
181276,Romelu Lukaku,Attacker,,,,90,,,,,22,1,1,0,71%,1,0,100%,0,1,0,0,1,5,0,31,50,3,5,2,4,2,2,10,7,4,0,3,0,0,0,0,,,,7.6
690230,Lautaro Martinez,Attacker,,,,80,,,,,8,0,1,1,53%,2,0,100%,0,2,0,1,0,0,1,15,33,4,0,1,3,4,3,11,6,2,1,1,0,0,3,0,1,,,7.1
362120,Danilo Cataldi,Midfielder,,,,26,,,,,5,0,0,0,100%,0,0,0%,0,0,0,0,2,0,0,5,10,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,,,6.4
541557,Jony,Midfielder,,,,1,,,,,1,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
168872,Valon Berisha,Midfielder,,,,9,,,,,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,
403049,Thomas Strakosha,Keeper,0,3,0,90,0,4,2,2,14,,,,,0,0,0%,0,0,0,6,0,0,13,21,30,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,,,,8.2
672840,Luiz Felipe,Midfielder,,,,90,,,,,39,0,0,0,93%,0,0,0%,0,0,0,3,0,0,5,42,49,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,,,,6.8
73024,Francesco Acerbi,Defender,,,,90,,,,,37,0,0,0,95%,0,0,0%,0,0,0,3,0,0,3,39,53,0,2,5,1,0,0,2,3,1,1,4,1,0,0,0,,,,6.9
43341,Stefan Daniel Radu,Defender,,,,90,,,,,41,0,0,0,93%,0,0,0%,0,0,0,2,0,0,3,44,48,0,0,3,0,0,0,2,0,0,0,5,0,0,0,0,,,,6.6
662205,Manuel Lazzari,Midfielder,,,,90,,,,,19,0,1,0,79%,0,0,0%,0,0,0,2,3,1,2,24,42,1,0,1,1,1,1,5,3,2,1,4,0,0,2,0,,1,,6.6
463301,Sergej Milinkovic-Savic,Midfielder,,,,90,,,,,31,0,0,0,84%,3,0,67%,1,2,0,4,4,0,7,37,60,2,2,2,2,1,1,8,3,2,3,7,0,0,0,0,,,,6.6
95327,Lucas Leiva,Midfielder,,,,81,,,,,42,0,0,0,88%,0,0,0%,0,0,0,3,1,2,4,48,60,0,0,2,1,1,0,5,2,1,2,5,2,1,0,0,1,,,7
198566,Luis Alberto,Attacker,,,,89,,,,,53,0,0,0,87%,3,2,33%,0,1,0,4,8,1,5,61,79,1,1,0,1,3,3,4,5,0,1,9,1,1,0,0,1,,,7.4
66890,Senad Lulic,Midfielder,,,,90,,,,,34,0,0,0,76%,0,0,0%,0,0,0,1,6,1,4,45,75,0,1,6,1,4,4,4,6,2,2,10,0,0,1,0,,1,,7.6
41622,Felipe Caicedo,Attacker,,,,64,,,,,8,0,1,0,73%,2,1,0%,1,0,0,0,0,1,0,11,20,1,0,0,1,1,1,5,1,1,1,2,0,0,0,0,1,,,6.3
161660,Ciro Immobile,Attacker,,,,90,,,,,17,0,0,1,74%,4,1,75%,0,3,0,1,1,3,1,23,43,2,0,0,1,3,3,4,8,0,0,2,1,1,4,0,,,,8.4
163735,Matteo Scozzarella,Midfielder,,,,14,,,,,10,0,0,0,77%,0,0,0%,0,0,0,0,0,0,1,13,21,0,0,1,1,0,0,2,2,1,0,1,1,1,1,1,0,,,6.2
313981,Andreas Cornelius,Attacker,,,,20,,,,,4,0,1,1,100%,1,0,100%,0,1,0,0,0,0,0,4,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,,,7.1
37950,Gervinho,Attacker,,,,6,,,,,2,0,0,0,67%,1,0,100%,0,1,0,0,0,0,0,3,7,0,0,0,1,2,2,1,2,0,0,2,0,0,0,1,0,,,
163255,Luigi Sepe,Keeper,0,2,0,90,0,4,1,7,15,,,,,0,0,0%,0,0,0,6,0,0,13,22,37,0,1,1,0,0,0,0,1,0,0,11,0,0,0,0,,,,8.3
46820,Matteo Darmian,Defender,,,,90,,,,,46,0,0,0,82%,0,0,0%,0,0,0,2,4,0,7,56,87,0,1,3,3,0,0,6,7,3,1,9,6,2,0,0,,1,,6.9
182784,Simone Iacoponi,Defender,,,,90,,,,,41,0,1,1,93%,2,0,50%,1,1,0,8,0,0,10,44,56,3,2,4,0,0,0,5,5,0,0,3,1,0,2,0,,,,7.8
25920,Bruno Alves,Defender,,,,90,,,,,54,0,0,0,90%,1,0,0%,1,0,0,17,1,0,21,60,67,0,2,3,0,0,0,2,3,1,1,3,0,0,1,0,,1,,7
414854,Riccardo Gagliolo,Defender,,,,90,,,,,36,0,2,0,80%,0,0,0%,0,0,0,2,7,2,4,45,66,0,1,1,0,1,1,0,3,0,2,1,1,1,0,0,,,,7.6
72518,Juraj Kucka,Midfielder,,,,90,,,,,25,0,0,0,86%,3,0,67%,1,2,0,2,3,1,3,29,44,3,2,0,0,2,2,5,7,2,0,10,1,0,2,0,,,,7.4
267374,Hernani,Midfielder,,,,84,,,,,36,1,1,0,90%,0,0,0%,0,0,0,8,5,3,11,40,66,0,0,4,2,3,2,7,6,1,3,6,3,2,1,0,1,1,,8.3
575364,Alberto Grassi,Midfielder,,,,76,,,,,35,0,0,0,95%,0,0,0%,0,0,0,1,0,0,1,37,43,0,1,1,0,0,0,5,4,2,0,7,3,1,0,0,1,,,6.8
935379,Dejan Kulusevski,Midfielder,,,,90,,,,,35,0,1,0,83%,1,0,0%,1,0,0,3,5,2,3,42,68,2,0,1,3,3,2,11,3,2,0,8,0,0,1,0,,,,6.2
212770,Roberto Inglese,Attacker,,,,70,,,,,7,0,0,0,58%,2,0,50%,1,1,0,0,0,0,0,12,28,1,1,1,0,2,2,7,5,5,0,5,2,1,0,0,1,1,,6.8
210932,Jasmin Kurtic,Midfielder,,,,90,,,,,41,0,0,0,91%,0,0,0%,0,0,0,2,2,0,2,45,57,2,3,2,0,0,0,6,5,2,2,2,2,1,1,0,,,,7
299799,Bryan Cristante,Midfielder,,,,24,,,,,26,0,0,0,81%,2,1,0%,1,0,0,1,0,1,1,32,37,0,0,0,0,2,2,1,3,1,0,5,1,0,0,1,0,1,,6.5
603477,Cengiz Ünder,Midfielder,,,,54,,,,,15,0,0,0,83%,1,1,0%,0,0,0,2,7,1,2,18,34,0,1,0,1,1,1,2,4,1,0,1,0,0,2,1,0,,,6.3
21613,Nikola Kalinic,Attacker,,,,8,,,,,2,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,
532942,Pau Lopez,Keeper,0,2,0,90,0,2,2,3,25,,,,,0,0,0%,0,0,0,2,0,0,3,26,32,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,6.1
264842,Alessandro Florenzi,Midfielder,,,,90,,,,,53,0,0,0,87%,1,0,0%,1,0,0,3,5,2,4,61,81,0,0,2,0,0,0,4,0,1,3,10,0,0,0,0,,1,,6.2
588687,Gianluca Mancini,Defender,,,,90,,,,,49,0,0,0,82%,2,0,50%,1,1,0,1,0,0,5,60,75,1,2,2,0,2,2,3,5,2,4,6,0,0,1,0,,1,,6.8
165823,Chris Smalling,Defender,,,,90,,,,,52,0,0,0,93%,0,0,0%,0,0,0,3,0,1,5,56,60,1,2,1,0,0,0,1,3,0,1,3,0,0,1,0,,,,6.2
16351,Aleksandar Kolarov,Defender,,,,90,,,,,42,0,0,0,89%,3,0,33%,2,1,0,2,15,1,3,47,84,2,1,1,0,3,2,5,3,1,0,3,0,0,0,0,,1,,6.2
261313,Jordan Veretout,Midfielder,,,,66,,,,,44,0,0,0,100%,0,0,0%,0,0,0,2,0,0,2,44,46,0,0,0,1,1,1,4,1,2,0,4,0,0,0,0,1,1,,5.5
668307,Amadou Diawara,Midfielder,,,,90,,,,,59,0,0,0,95%,2,0,50%,1,1,0,6,0,0,6,62,71,0,0,0,0,0,0,3,2,0,2,5,1,1,1,0,,,,6.2
818893,Nicolo Zaniolo,Midfielder,,,,36,,,,,6,0,0,0,86%,1,1,0%,0,0,0,0,1,0,0,7,17,0,0,0,2,3,3,6,4,2,0,2,0,0,1,0,1,,,5.6
540307,Lorenzo Pellegrini,Midfielder,,,,90,,,,,33,0,1,0,79%,4,1,25%,2,1,0,0,9,4,0,42,65,0,0,0,3,1,0,5,1,1,0,2,0,0,1,0,,,,6
101422,Diego Perotti,Attacker,,,,82,,,,,25,0,1,1,96%,3,1,33%,1,1,0,1,7,0,1,26,44,1,0,0,1,1,1,5,4,0,1,3,0,0,3,0,1,,,7.1
15403,Edin Dzeko,Attacker,,,,90,,,,,9,0,0,0,64%,3,1,33%,1,1,0,1,2,2,1,14,26,3,3,0,2,0,0,5,4,0,0,2,1,1,0,0,,,,6.7
